img_file,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y,celeb_orig,celeb
000001.png,69,109,106,113,77,142,73,152,108,154,2880,1540
000002.png,69,110,107,112,81,135,70,151,108,153,2937,1573
000003.png,76,112,104,106,108,128,74,156,98,158,8692,4689
000004.png,72,113,108,108,101,138,71,155,101,151,5805,3128
000005.png,66,114,112,112,86,119,71,147,104,150,9295,5005
000006.png,71,111,106,110,94,131,74,154,102,153,4153,2215
000007.png,70,112,108,111,85,135,72,152,104,152,9040,4892
000008.png,71,110,106,111,84,137,73,155,104,153,6369,3431
000009.png,68,113,110,111,97,139,66,152,109,150,3332,1789
000010.png,68,111,108,112,89,136,70,151,107,151,612,357
000011.png,69,112,108,111,89,139,72,152,104,151,2807,1503
000012.png,69,112,108,112,89,136,68,150,109,152,7779,4185
000013.png,68,112,109,111,90,138,67,151,109,150,3785,2028
000014.png,68,112,109,111,92,141,72,150,104,152,7081,3803
000015.png,69,110,107,112,90,133,74,152,105,153,1854,1017
000016.png,69,112,108,111,85,138,70,152,105,152,4905,2611
000017.png,67,112,109,113,86,138,67,150,111,151,667,383
000018.png,67,112,110,112,88,135,68,150,109,150,2464,1333
000019.png,68,111,108,112,88,134,73,152,104,151,2929,1568
000020.png,69,112,109,110,86,125,72,152,103,151,2782,1491
000021.png,70,111,107,111,87,138,73,151,104,154,181,114
000022.png,70,111,107,111,85,132,74,153,103,153,6642,3581
000023.png,70,112,108,111,88,140,71,153,105,151,1,0
000024.png,67,111,109,113,84,123,72,149,106,152,9290,5004
000025.png,70,111,108,111,83,130,72,153,104,152,7578,4079
000026.png,69,111,108,111,85,135,73,152,103,152,10046,5357
000027.png,70,112,107,110,101,138,70,155,105,151,4128,2202
000028.png,68,112,110,112,89,145,67,150,109,151,3670,1968
000029.png,69,111,108,111,91,129,70,151,107,152,3422,1838
000030.png,70,110,106,111,95,135,75,153,103,153,8216,4424
000031.png,68,113,109,111,88,137,65,151,111,151,9181,4953
000032.png,72,111,106,110,88,133,75,153,101,155,268,162
000033.png,69,111,108,111,88,136,72,152,105,152,7600,4093
000034.png,70,111,108,111,91,134,72,153,104,152,1603,887
000035.png,69,111,108,111,88,135,73,152,104,152,5512,2955
000036.png,74,106,101,111,69,138,80,156,102,158,3272,1753
000037.png,72,110,105,110,94,132,76,155,101,155,8744,4718
000038.png,69,112,109,111,93,137,68,151,109,152,4407,2357
000039.png,69,111,108,111,100,131,68,151,108,152,6446,3471
000040.png,69,112,108,111,89,139,73,152,103,152,2088,1136
000041.png,70,105,102,114,65,144,73,151,112,159,1058,592
000042.png,68,112,109,112,92,138,68,152,109,150,5230,2801
000043.png,68,111,109,112,90,136,67,150,110,151,5239,2807
000044.png,71,110,106,111,87,137,73,153,105,154,2079,1129
000045.png,69,112,108,111,86,140,68,151,108,152,4125,2199
000046.png,66,112,110,113,87,139,69,149,109,150,6318,3398
000047.png,68,112,109,112,88,135,72,151,105,152,9177,4951
000048.png,70,113,108,110,81,125,74,154,100,150,4310,2303
000049.png,73,107,102,111,76,139,78,157,102,156,6817,3672
000050.png,68,112,109,111,93,139,66,151,110,151,1058,592
000051.png,67,113,110,112,83,140,69,148,107,152,1446,797
000052.png,70,111,107,111,85,135,72,153,105,153,3896,2088
000053.png,70,112,108,111,91,137,72,153,103,152,9397,5044
000054.png,67,112,110,112,87,138,66,150,111,151,8443,4560
000055.png,69,111,108,111,86,133,73,151,104,153,4883,2601
000056.png,69,111,107,111,97,133,74,152,103,152,545,317
000057.png,71,111,106,110,95,134,73,154,103,154,10144,5405
000058.png,68,112,109,112,89,132,73,152,104,150,2879,1539
000059.png,72,110,105,110,75,132,75,153,101,156,6204,3345
000060.png,71,112,107,109,74,131,70,154,104,153,6880,3700
000061.png,74,110,104,108,97,130,78,158,97,154,3316,1780
000062.png,69,111,108,112,87,137,72,153,105,151,1499,826
000063.png,68,111,108,113,82,142,66,150,112,152,1539,849
