it,n_conv_layers,n_kernels,stride,dropout,fold,mse
0,1,10,2,TRUE,0,6.53251052
1,1,10,2,TRUE,1,7.110537608
2,1,10,2,TRUE,2,7.760145756
3,1,10,2,TRUE,3,5.269744736
4,1,10,2,TRUE,4,10.71505735
5,1,10,2,FALSE,0,6.7338575
6,1,10,2,FALSE,1,7.993012864
7,1,10,2,FALSE,2,5.504501552
8,1,10,2,FALSE,3,4.016408943
9,1,10,2,FALSE,4,5.101014296
10,1,10,5,TRUE,0,10.43492682
11,1,10,5,TRUE,1,7.258920981
12,1,10,5,TRUE,2,14.76719231
13,1,10,5,TRUE,3,7.103000995
14,1,10,5,TRUE,4,8.124462959
15,1,10,5,FALSE,0,8.077670064
16,1,10,5,FALSE,1,8.866317091
17,1,10,5,FALSE,2,6.291006903
18,1,10,5,FALSE,3,34.17296607
19,1,10,5,FALSE,4,5.676538051
20,1,20,2,TRUE,0,5.498882987
21,1,20,2,TRUE,1,7.629321644
22,1,20,2,TRUE,2,7.171287414
23,1,20,2,TRUE,3,5.194856995
24,1,20,2,TRUE,4,6.247861323
25,1,20,2,FALSE,0,4.53746095
26,1,20,2,FALSE,1,5.265480014
27,1,20,2,FALSE,2,4.620676918
28,1,20,2,FALSE,3,6.894888188
29,1,20,2,FALSE,4,5.218389274
30,1,20,5,TRUE,0,4.500370092
31,1,20,5,TRUE,1,12.43421169
32,1,20,5,TRUE,2,5.413246287
33,1,20,5,TRUE,3,5.866217461
34,1,20,5,TRUE,4,28.58241645
35,1,20,5,FALSE,0,8.010497711
36,1,20,5,FALSE,1,6.673469197
37,1,20,5,FALSE,2,4.642044716
38,1,20,5,FALSE,3,10.24024668
39,1,20,5,FALSE,4,13.78493143
40,1,30,2,TRUE,0,9.408430267
41,1,30,2,TRUE,1,4.328662407
42,1,30,2,TRUE,2,4.635782664
43,1,30,2,TRUE,3,4.920128991
44,1,30,2,TRUE,4,7.25232976
45,1,30,2,FALSE,0,5.939158888
46,1,30,2,FALSE,1,4.393402456
47,1,30,2,FALSE,2,3.598428656
48,1,30,2,FALSE,3,6.062035846
49,1,30,2,FALSE,4,4.58158461
50,1,30,5,TRUE,0,7.203219594
51,1,30,5,TRUE,1,8.541869494
52,1,30,5,TRUE,2,4.884574905
53,1,30,5,TRUE,3,8.538043621
54,1,30,5,TRUE,4,8.892294096
55,1,30,5,FALSE,0,22.36840809
56,1,30,5,FALSE,1,4.410378134
57,1,30,5,FALSE,2,4.643848399
58,1,30,5,FALSE,3,16.72948833
59,1,30,5,FALSE,4,6.298000285
60,3,10,2,TRUE,0,11.80455054
61,3,10,2,TRUE,1,12.80885937
62,3,10,2,TRUE,2,14.01480069
63,3,10,2,TRUE,3,5.826244413
64,3,10,2,TRUE,4,15.19064258
65,3,10,2,FALSE,0,8.317050837
66,3,10,2,FALSE,1,4.213031537
67,3,10,2,FALSE,2,8.796191085
68,3,10,2,FALSE,3,7.495144558
69,3,10,2,FALSE,4,7.819423472
70,3,10,5,TRUE,0,14.70054966
71,3,10,5,TRUE,1,19.21625371
72,3,10,5,TRUE,2,8.729123607
73,3,10,5,TRUE,3,11.84571869
74,3,10,5,TRUE,4,47.58171567
75,3,10,5,FALSE,0,11.04490356
76,3,10,5,FALSE,1,19.92999063
77,3,10,5,FALSE,2,10.58690435
78,3,10,5,FALSE,3,7.721895376
79,3,10,5,FALSE,4,10.26444627
80,3,20,2,TRUE,0,6.805449428
81,3,20,2,TRUE,1,8.743604094
82,3,20,2,TRUE,2,7.22493551
83,3,20,2,TRUE,3,7.610866327
84,3,20,2,TRUE,4,12.09007604
85,3,20,2,FALSE,0,3.860577113
86,3,20,2,FALSE,1,6.225120072
87,3,20,2,FALSE,2,11.98998582
88,3,20,2,FALSE,3,7.854647962
89,3,20,2,FALSE,4,4.983252411
90,3,20,5,TRUE,0,9.703269724
91,3,20,5,TRUE,1,10.53772023
92,3,20,5,TRUE,2,10.23636997
93,3,20,5,TRUE,3,18.63692935
94,3,20,5,TRUE,4,8.599057299
95,3,20,5,FALSE,0,16.11626425
96,3,20,5,FALSE,1,9.814989132
97,3,20,5,FALSE,2,8.178272419
98,3,20,5,FALSE,3,8.228618808
99,3,20,5,FALSE,4,8.469250451
100,3,30,2,TRUE,0,5.039874966
101,3,30,2,TRUE,1,7.614240631
102,3,30,2,TRUE,2,8.284245376
103,3,30,2,TRUE,3,6.691035826
104,3,30,2,TRUE,4,4.753316668
105,3,30,2,FALSE,0,8.022968619
106,3,30,2,FALSE,1,9.465225968
